,CD_ESTACAO,CHUVA,DC_NOME,DT_MEDICAO,HR_MEDICAO,PRE_INS,PRE_MAX,PRE_MIN,PTO_INS,PTO_MAX,PTO_MIN,RAD_GLO,TEM_INS,TEM_MAX,TEM_MIN,UF,UMD_INS,UMD_MAX,UMD_MIN,VEN_DIR,VEN_RAJ,VEN_VEL,VL_LATITUDE,VL_LONGITUDE
0,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0000,1005.3,1005.3,1004.7,20,20,18.3,-3.54,27.3,29.7,27.3,RJ,65,65,51,93,4.8,0,-22.86138888,-43.41138888
1,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0100,1005.9,1005.9,1005.3,20.7,20.8,19.9,-3.54,25.9,27.3,25.7,RJ,73,73,64,60,0.9,0,-22.86138888,-43.41138888
2,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0200,1006.1,1006.1,1005.9,21.1,21.4,20.7,-3.54,25.2,26,25,RJ,78,79,73,110,1.7,0.1,-22.86138888,-43.41138888
3,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0300,1005.9,1006.2,1005.9,21.3,21.7,20.8,-3.54,26.6,26.7,25,RJ,73,79,73,132,1.7,0.7,-22.86138888,-43.41138888
4,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0400,1005.3,1005.9,1005.3,21.4,21.7,20.8,-3.54,24.3,26.6,24.2,RJ,84,84,73,11,1.6,0,-22.86138888,-43.41138888
5,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0500,1004.8,1005.4,1004.8,20.9,21.7,20.8,-3.54,23.5,24.7,23.5,RJ,85,85,83,280,0.9,0,-22.86138888,-43.41138888
6,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0600,1004.6,1004.8,1004.6,20.8,21.4,20.7,-3.54,23.2,23.8,23.1,RJ,87,87,85,346,0.6,0,-22.86138888,-43.41138888
7,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0700,1004.7,1004.7,1004.5,20.6,21.5,20.6,-3.54,23.2,23.9,23.2,RJ,85,87,85,1,1.5,0.3,-22.86138888,-43.41138888
8,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0800,1005,1005,1004.6,20.7,21.2,20.5,-3.37,22.9,23.3,22.8,RJ,88,88,85,18,1.6,0.7,-22.86138888,-43.41138888
9,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,0900,1005.3,1005.3,1004.9,21.6,21.8,20.6,110.408,25,25,22.8,RJ,82,88,82,129,2.5,1.3,-22.86138888,-43.41138888
10,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1000,1005.2,1005.3,1005.2,20.9,21.7,20.8,625.654,27.4,27.4,25,RJ,68,82,67,139,2.5,1.3,-22.86138888,-43.41138888
11,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1100,1005.1,1005.2,1005.1,20,21.4,19.4,1479.36,29.7,29.7,27.4,RJ,56,68,54,114,3.4,1.7,-22.86138888,-43.41138888
12,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1200,1004.6,1005.1,1004.6,17.9,20.8,17.8,2366.015,31.8,31.9,29.7,RJ,43,57,43,114,5.6,2.8,-22.86138888,-43.41138888
13,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1300,1004.2,1004.6,1004.2,16.6,18.7,15.8,3008.772,33.7,33.9,31.7,RJ,36,45,35,84,10.3,3.6,-22.86138888,-43.41138888
14,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1400,1003.8,1004.2,1003.8,15.8,17.4,15.5,3534.226,34.4,34.5,33.3,RJ,33,38,33,92,10.3,3.1,-22.86138888,-43.41138888
15,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1500,1003.2,1003.8,1003.2,16.1,17.5,15.8,3769.644,35.3,35.4,34.3,RJ,32,36,31,39,6.9,2.6,-22.86138888,-43.41138888
16,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1600,1002.3,1003.2,1002.3,16.7,18,15.8,3749.702,36.3,36.5,35.1,RJ,32,35,31,67,5,1.8,-22.86138888,-43.41138888
17,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1700,1001.6,1002.3,1001.6,16.9,17.9,15.9,1779.957,35.9,36.8,35.8,RJ,33,34,30,238,3.8,1.6,-22.86138888,-43.41138888
18,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1800,1000.7,1001.6,1000.7,17.3,18.5,16.8,1936.607,35.8,36.7,35.3,RJ,33,36,32,226,6.2,3.3,-22.86138888,-43.41138888
19,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,1900,1000.1,1000.8,1000.1,17,18,16.5,944.876,34.9,35.9,34.3,RJ,35,37,33,252,7.5,2.6,-22.86138888,-43.41138888
20,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,2000,1000.4,1000.4,1000,16.6,17,16.2,1121.825,34.4,35.7,34.3,RJ,35,35,32,234,6,1.5,-22.86138888,-43.41138888
21,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,2100,1000.6,1000.7,1000.3,17.7,18.3,16.2,430.524,31.3,34.4,31.3,RJ,44,44,34,96,6.6,3.8,-22.86138888,-43.41138888
22,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,2200,1001.6,1001.6,1000.6,18.1,18.7,17.8,75.005,28.9,31.3,28.9,RJ,52,52,44,57,6.3,0.6,-22.86138888,-43.41138888
23,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-01,2300,1002.5,1002.5,1001.6,20,20,18,-3.54,26.2,29,26.2,RJ,69,69,52,356,2.7,0.1,-22.86138888,-43.41138888
24,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0000,1002.9,1002.9,1002.4,20.2,20.3,19.6,-3.54,25.7,26.5,25.6,RJ,72,72,67,61,1.4,0.2,-22.86138888,-43.41138888
25,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0100,1003.5,1003.5,1002.9,19.7,20.4,19.6,-3.54,26.4,26.8,25.7,RJ,67,72,65,359,1.9,0,-22.86138888,-43.41138888
26,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0200,1003.5,1003.7,1003.5,19.3,19.9,19,-3.513,27,27.9,26.1,RJ,63,68,59,46,3.1,1.5,-22.86138888,-43.41138888
27,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0300,1002.7,1003.5,1002.7,18.8,19.5,18.8,-3.54,28,28,26.7,RJ,57,64,57,348,5,2.5,-22.86138888,-43.41138888
28,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0400,1002.3,1002.7,1002.2,18.8,19.3,18.8,-3.54,27.5,28,27.2,RJ,59,62,57,14,5,2.9,-22.86138888,-43.41138888
29,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0500,1002,1002.3,1002,18.4,18.8,18.4,-3.54,27.7,28,27.5,RJ,57,59,56,4,6.6,2.4,-22.86138888,-43.41138888
30,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0600,1001.6,1002,1001.5,18.4,18.5,18.3,-3.54,27.7,27.9,27.2,RJ,57,59,56,1,5.5,3.1,-22.86138888,-43.41138888
31,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0700,1001.6,1001.6,1001.4,18.5,18.6,18.4,-3.54,28.1,28.1,27.4,RJ,56,58,56,348,7.8,4.2,-22.86138888,-43.41138888
32,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0800,1002,1002,1001.6,19.1,19.1,18.5,-3.431,26.9,28.2,26.9,RJ,63,63,56,18,7.1,1.6,-22.86138888,-43.41138888
33,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,0900,1002.8,1002.8,1002,19.9,20.5,19.1,79.76,27.9,27.9,26.1,RJ,62,70,62,93,3,1,-22.86138888,-43.41138888
34,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1000,1003.2,1003.2,1002.8,18.8,21.3,18.6,509.813,30.4,30.6,27.9,RJ,50,63,49,4,4.8,1.9,-22.86138888,-43.41138888
35,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1100,1003.7,1003.7,1003.2,19.5,19.8,18.5,549.555,29.3,30.4,29.3,RJ,56,56,49,3,6.3,3,-22.86138888,-43.41138888
36,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1200,1003.9,1004,1003.6,19.4,20.1,19.1,755.695,30.1,30.3,29,RJ,53,59,52,328,5.3,2.6,-22.86138888,-43.41138888
37,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1300,1004.2,1004.2,1003.9,19.6,20,19.1,946.959,30,30.6,29.9,RJ,54,55,51,342,6.7,3.5,-22.86138888,-43.41138888
38,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1400,1004,1004.3,1004,19.6,20.1,19.4,1148.853,30.5,30.6,29.9,RJ,52,55,52,342,7.7,4.1,-22.86138888,-43.41138888
39,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1500,1003.9,1004,1003.8,19.6,20,19.4,1031.285,30.8,30.8,30.4,RJ,51,54,51,313,7.7,2.7,-22.86138888,-43.41138888
40,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1600,1003.7,1003.9,1003.6,19.6,20.8,19.1,2058.079,31.7,32.4,30.8,RJ,49,52,47,319,6.7,3.1,-22.86138888,-43.41138888
41,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1700,1003.5,1003.8,1003.5,20.1,20.4,19.1,1334.882,31.1,31.8,31.1,RJ,52,53,48,308,6.6,1.6,-22.86138888,-43.41138888
42,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1800,1002.9,1003.5,1002.9,19.6,20.9,19.6,1637.705,31.5,31.6,30.2,RJ,49,56,49,323,5.9,2.3,-22.86138888,-43.41138888
43,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,1900,1003,1003.2,1002.9,19.9,20.2,18.9,906.592,29.4,31.5,29.2,RJ,57,58,48,241,6.9,2,-22.86138888,-43.41138888
44,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,2000,1004.9,1004.9,1003,20.9,20.9,19.7,184.437,27.4,29.5,27.4,RJ,68,68,56,83,4.7,2.2,-22.86138888,-43.41138888
45,A621,0.6,RIO DE JANEIRO - VILA MILITAR,2020-01-02,2100,1005.5,1005.5,1004.9,22.7,22.7,20.7,36.643,25.5,27.4,25.5,RJ,85,85,67,128,4.7,0.9,-22.86138888,-43.41138888
46,A621,0.4,RIO DE JANEIRO - VILA MILITAR,2020-01-02,2200,1006.2,1006.2,1005.5,22.3,23.6,22.3,29.113,25.3,25.9,25.3,RJ,84,87,84,146,4.5,2.5,-22.86138888,-43.41138888
47,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-02,2300,1006.9,1006.9,1006.2,21.2,22.3,21.2,-2.046,24.6,25.3,24.4,RJ,81,85,81,146,5.1,2.2,-22.86138888,-43.41138888
48,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-03,0000,1007.3,1007.3,1006.9,21.3,21.3,20.8,-2.584,24.1,24.6,24.1,RJ,84,84,80,36,4.8,0.1,-22.86138888,-43.41138888
49,A621,0.2,RIO DE JANEIRO - VILA MILITAR,2020-01-03,0100,1007,1007.4,1007,21.7,21.8,21.3,-2.814,24,24.3,23.9,RJ,87,87,84,4,1.4,0,-22.86138888,-43.41138888
50,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-03,0200,1006.2,1007,1006.2,21.5,21.8,21.5,-3.508,23.4,24.1,23.4,RJ,89,89,87,21,0.6,0.1,-22.86138888,-43.41138888
51,A621,0,RIO DE JANEIRO - VILA MILITAR,2020-01-03,0300,1005.3,1006.3,1005.3,21.1,21.6,21,-3.538,23.1,23.5,23,RJ,89,90,88,9,2,0.9,-22.86138888,-43.41138888
