,CD_ESTACAO,CHUVA,DC_NOME,DT_MEDICAO,HR_MEDICAO,PRE_INS,PRE_MAX,PRE_MIN,PTO_INS,PTO_MAX,PTO_MIN,RAD_GLO,TEM_INS,TEM_MAX,TEM_MIN,UF,UMD_INS,UMD_MAX,UMD_MIN,VEN_DIR,VEN_RAJ,VEN_VEL,VL_LATITUDE,VL_LONGITUDE
0,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0000,908.5,908.6,908.5,11,11.2,10.9,-3.54,11.8,12.1,11.7,RJ,95,95,94,245,0,0,-22.4486111,-42.98694444
1,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0100,908.7,908.8,908.5,10.2,10.9,10.2,-3.54,11.1,11.8,11.1,RJ,95,95,95,250,0,0,-22.4486111,-42.98694444
2,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0200,908.5,908.7,908.5,10.1,10.3,9.9,-3.54,10.8,11.1,10.7,RJ,95,95,95,256,0,0,-22.4486111,-42.98694444
3,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0300,908.1,908.5,908.1,10,10.2,9.8,-3.539,10.6,10.9,10.5,RJ,96,96,95,251,0,0,-22.4486111,-42.98694444
4,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0400,907.7,908.1,907.7,10.7,11.7,10,-3.54,11.9,12.9,10.6,RJ,93,97,91,340,2.9,0.5,-22.4486111,-42.98694444
5,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0500,907.5,907.8,907.5,10.8,11.5,10.5,-3.54,12,12.5,11.3,RJ,92,96,92,252,3.4,0.8,-22.4486111,-42.98694444
6,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0600,906.9,907.5,906.9,11.1,11.5,10.7,-3.54,12.3,12.7,11.9,RJ,92,93,91,228,3.7,0.7,-22.4486111,-42.98694444
7,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0700,906.8,906.9,906.7,10.7,11.5,10,-3.54,11.9,12.9,11.5,RJ,93,93,90,227,3.9,0.6,-22.4486111,-42.98694444
8,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0800,907,907,906.8,10.8,11.2,9.6,-3.54,12.1,12.3,11.1,RJ,92,94,90,198,2.5,0.6,-22.4486111,-42.98694444
9,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,0900,907.5,907.5,907,8,10.8,7.8,-3.54,9,12.1,8.9,RJ,93,95,90,220,2.6,0.5,-22.4486111,-42.98694444
10,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1000,908.2,908.2,907.5,8.3,8.3,7.4,48.901,9.1,9.1,8.3,RJ,94,95,93,251,1.6,0.5,-22.4486111,-42.98694444
11,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1100,908.7,908.7,908.2,11.8,11.8,8.3,527.583,14.6,14.6,9.2,RJ,83,95,83,155,2.2,0.2,-22.4486111,-42.98694444
12,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1200,909.3,909.3,908.7,12.2,12.7,11.4,1407.152,16.1,16.4,14.3,RJ,78,84,76,136,3.2,0.9,-22.4486111,-42.98694444
13,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1300,909,909.3,909,11.9,12.8,11.9,2027.496,18,18.3,16.1,RJ,68,78,67,100,3.6,1.3,-22.4486111,-42.98694444
14,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1400,908.4,909,908.4,12.1,12.9,11.6,2419.836,19.6,19.7,18,RJ,62,69,61,73,3.5,1.2,-22.4486111,-42.98694444
15,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1500,907.7,908.4,907.7,12.6,13.2,11.6,2563.591,22.2,22.2,19.3,RJ,55,65,54,84,3.1,1.3,-22.4486111,-42.98694444
16,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1600,906.8,907.7,906.8,10.1,12.9,9.6,2492.949,21.5,22.2,21.1,RJ,48,57,46,66,3.7,1.1,-22.4486111,-42.98694444
17,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1700,906.4,906.8,906.4,10.2,12.2,9.3,2184.265,21.6,22,21,RJ,48,55,46,96,3.5,0.9,-22.4486111,-42.98694444
18,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1800,906.2,906.4,906.2,11.4,12.5,8.6,1555.769,21.7,22.8,21.1,RJ,52,56,42,193,2.4,0.1,-22.4486111,-42.98694444
19,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,1900,906.4,906.4,906.2,12.5,12.9,11.7,392.632,17.5,22.4,17.5,RJ,73,73,52,265,3,0.3,-22.4486111,-42.98694444
20,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,2000,906.7,906.7,906.4,10.2,12.5,9.7,47.855,14.7,17.5,14.7,RJ,75,79,71,264,1.4,0.6,-22.4486111,-42.98694444
21,A618,0,TERESÓPOLIS-PARQUE NACIONAL,2020-06-01,2100,907.1,907.1,906.7,9.9,10.2,9.1,-1.088,12.7,14.7,12.6,RJ,83,84,74,251,1.3,0.6,-22.4486111,-42.98694444
